time, Active Inputs (Actor State [ActiveInput])*, Total Active Inputs, Enabled Transitions (Actor State [NumberOfEnabledTransitions])*, Total Enabled Transitions, Transition Durations (Actor State [TransitionDuration])*, Total Transitions, TaskStarts, TaskStops, Op Tempo
170,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
180,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
190,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
200,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
210,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
220,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
230,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
240,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
250,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
260,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
270,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
280,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
290,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
300,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
310,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
320,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
330,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
340,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
350,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
360,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
370,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
380,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
390,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
400,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
410,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
420,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
430,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
440,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
450,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
460,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
470,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
480,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
490,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.1
