time, resource data (Actor State [ActiveInput])*, resource workload, temporal data (Actor State [NumberOfEnabledTransitions])*, temporal workload, decision data (Actor State [TransitionDuration])*, decision workload, TaskStarts, TaskStops
19,(ParentSearch TX_MM [false])(ParentSearch TX_MM [MM_ACK_PS])(ParentSearch TX_MM [false])(ParentSearch TX_MM [false]),4,(ParentSearch TX_MM [10]),10,(ParentSearch TX_MM [2]),2,,
28,(ParentSearch END_MM [false])(ParentSearch END_MM [MM_ACK_PS])(ParentSearch END_MM [false])(ParentSearch END_MM [false])(MissionManager RX_PS [PS_TARGET_DESCRIPTION_MM]),5,(ParentSearch END_MM [1])(MissionManager RX_PS [1]),2,(ParentSearch END_MM [1])(MissionManager RX_PS [1]),2,,([PS_STOP_TRANSMIT_TARGET_DESCRIPTION_PS])
29,,0,(MissionManager IDLE [1]),1,(MissionManager IDLE [2]),2,([MM_START_TRANSMIT_TARGET_DESCRIPTION_MM]),
30,,0,(MissionManager POKE_VO [10]),10,(MissionManager POKE_VO [1]),1,,
31,(MissionManager POKE_VO [VO_ACK_MM]),1,(MissionManager POKE_VO [1]),1,(MissionManager POKE_VO [2]),2,,
32,(MissionManager TX_VO [VO_ACK_MM]),1,(MissionManager TX_VO [10]),10,(MissionManager TX_VO [1]),1,,
42,(MissionManager END_VO [VO_ACK_MM]),1,(MissionManager END_VO [1]),1,(MissionManager END_VO [1]),1,,([MM_STOP_TRANSMIT_TARGET_DESCRIPTION_MM])
43,,0,(MissionManager IDLE [1]),1,(MissionManager IDLE [1]),1,,
44,(Operator IDLE [UAV_LANDED_OP])(Operator IDLE [MM_POKE_OP]),2,(Operator IDLE [1]),1,(Operator IDLE [1]),1,,([OP_STOP_LISTEN_TO_MM_OP])
45,(MissionManager POKE_OP [OP_ACK_MM]),1,(MissionManager POKE_OP [1]),1,(MissionManager POKE_OP [1]),1,,
46,(MissionManager TX_OP [OP_ACK_MM]),1,(MissionManager TX_OP [10]),10,(MissionManager TX_OP [1]),1,,
56,(MissionManager END_OP [OP_ACK_MM])(Operator RX_MM [UAV_LANDED_OP])(Operator RX_MM [MM_NEW_SEARCH_AOI_OP]),3,(MissionManager END_OP [1])(Operator RX_MM [1]),2,(MissionManager END_OP [1])(Operator RX_MM [1]),2,([OP_START_LISTEN_TO_MM_OP]),([MM_STOP_TRANSMIT_AOI_MM])
57,(Operator IDLE [UAV_LANDED_OP]),1,(Operator IDLE [1]),1,(Operator IDLE [1]),1,([OP_START_SET_AOI_OP]),
59,(Operator LAUNCH_UAV [UAV_FLYING_OP])(Operator LAUNCH_UAV [OGUI_FLYING_NORMAL_OP]),2,(Operator LAUNCH_UAV [1]),1,(Operator LAUNCH_UAV [1]),1,([OP_START_LAUNCH_OP]),
