time, resource data (Actor State [ActiveInput])*, resource workload, temporal data (Actor State [NumberOfEnabledTransitions])*, temporal workload, decision data (Actor State [TransitionDuration])*, decision workload, TaskStarts, TaskStops
179,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
180,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
181,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
182,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
183,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
184,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
185,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
186,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
187,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
188,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
189,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
190,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
191,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
192,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
193,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
194,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
195,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
196,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
197,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
198,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
199,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
200,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
201,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
202,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
203,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
204,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
205,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
206,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
207,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
208,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
209,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
