time, Active Inputs (Actor State [ActiveInput])*, Total Active Inputs, Enabled Transitions (Actor State [NumberOfEnabledTransitions])*, Total Enabled Transitions, Transition Durations (Actor State [TransitionDuration])*, Total Transitions, TaskStarts, TaskStops, Op Tempo
96,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager END_OP [OP_ACK_MM])(Operator RX_MM [UAV_LANDED_OP])(Operator RX_MM [MM_NEW_SEARCH_AOI_OP]),6,(MissionManager END_OP [1])(Operator RX_MM [1]),2,(MissionManager END_OP [10]),10,,([MM_STOP_TRANSMIT_AOI_MM]),0.0
97,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP]),4,(Operator IDLE [1]),1,(MissionManager IDLE [1])(Operator IDLE [1]),2,([OP_STOP_LISTEN_TO_MM_OP__OP_START_SET_AOI_OP]),,0.0
98,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,(Operator LAUNCH_UAV [1]),1,([OP_START_LAUNCH_OP]),,0.0
99,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
100,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.4
101,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
102,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
103,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
104,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
105,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
106,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
107,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
108,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
